"","Acari","Amphipoda","Aranae","Baetidae","Caenidae","Calamoceratidae","Ceratopogonidae","Chaoboridae","Chironomidae (L)","Chironomidae(pupa)","Cladocera","Colembola","Coleoptera","Coleoptera (larva)","Copepoda","Corixidae","Diptera (adult)","Diptera (pupa)","Dytiscidae","Elmidae","Empididae","Ephemeroptera","Filamentous Algae","Formicidae","Gerrridae","Helicopsychidae","Hemiptera","Hydracarina","Hydropsychidae","Hymenoptera","Insect Remains","Invertebrate eggs","Isoptera","Lampyridae","Leptoceridae","Leptohyphes","Leptophlebiidae","Libellulidae","Naucoridae","Noteridae","Odonata (N)","Organic matter","Orthoptera","Ostracoda","Philopotamidae","Plant Matter","Plecoptera","Pleidae","Pseudoscorpionida","Psocoptera","Psychodidae","Pyralidae","Scales","Sediments","Seeds and Fruits","Shrimp (L)","Simullidae","Staphynilidae","Thysanura","Tingidae","Trichoptera","Trichoptera (L)","Vellidae","Vespidae"
"IAI_CJ",0,0,0,0.0191693290734824,0,0,0,0,0.00287539936102236,0,0.00287539936102236,0,0,0,0,0,0,0.00159744408945687,0,0,0,0.5814696485623,0.0559105431309904,0,0,0,0,0,0,0,0.204472843450479,0.000319488817891374,0,0,0,0.0511182108626198,0.0702875399361022,0,0,0,0,0.00638977635782748,0,0.00287539936102236,0,0,0,0,0,0,0.000319488817891374,0,0,0.000319488817891374,0,0,0,0,0,0,0,0,0,0
"IAI_CA",0,0,0,0,0,0.000687757909215956,0,0.0453920220082531,0.101788170563961,0.000687757909215956,0.00275103163686382,0,0,0,0,0,0,0,0,0,0,0.00343878954607978,0.247592847317744,0.000687757909215956,0.00412654745529574,0,0,0,0.00687757909215956,0.000687757909215956,0.46767537826685,0.00343878954607978,0,0,0,0.0426409903713893,0,0,0,0,0,0.00687757909215956,0,0,0,0.0639614855570839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000687757909215956,0,0,0
"IAI_CJL",0,0,0,0.00344530577088717,0,0,0,0,0,0,0,0.80289979902383,0.00143554407120299,0,0,0,0,0,0.00287108814240597,0.0143554407120299,0,0,0,0.00516795865633075,0,0,0.0522538041917887,0,0.00100488084984209,0,0.0964685615848407,0,0,0,0,0,0,0,0.000287108814240597,0,0.00287108814240597,0,0.00430663221360896,0.00215331610680448,0,0,0,0,0,0.000574217628481195,0,0.000287108814240597,0,0,0,0,0,0.000287108814240597,0.000143554407120299,0,0,0,0,0.00918748205569911
"IAI_CO",0,0,0,0.47979797979798,0.0101010101010101,0,0,0,0.000336700336700337,0,0.0121212121212121,0,0,0,0,0,0,0,0,0,0,0.0942760942760943,0.0767676767676767,0,0,0,0,0.000336700336700337,0,0,0.218181818181818,0.0781144781144781,0,0,0,0,0.00606060606060606,0,0,0,0,0,0,0.000336700336700337,0,0,0,0.0235690235690236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IAI_IJ",0,0,0,0.053167922020381,0,0,0,0.000443066016836509,0.0194949047408064,0.132919805050953,0,0,0,0,0,0,0.000443066016836509,0,0,0,0,0.354452813469207,0.0708905626938414,0.00974745237040319,0,0,0,0,0.0053167922020381,0,0.276473194505981,0,0,0,0,0,0.053167922020381,0,0,0.00443066016836509,0,0,0,0.00132919805050953,0,0.00443066016836509,0,0,0,0,0.00886132033673017,0,0.00221533008418254,0,0.00221533008418254,0,0,0,0,0,0,0,0,0
"IAI_IA",0,0.00027124773960217,0,0,0,0,0,0,0.000452079566003617,0,0.00976491862567812,0,0,0,0,0,0,0,0,0,0,0,0.944846292947559,0,0,0,0,0,0,0,0.027124773960217,0,0,0,0,0,0,0,0,0,0,0,0,0.00867992766726944,0,0,0,0,0,0,0,0,0.0027124773960217,0.00488245931283906,0,0.00126582278481013,0,0,0,0,0,0,0,0
"IAI_IJL",0,0.00605449041372351,0.000504540867810293,0.062058526740666,0,0,0.00252270433905146,0,0.145307769929364,0,0.0953582240161453,0,0,0,0.00201816347124117,0,0,0,0,0,0,0.0908173562058527,0.130676084762866,0,0.000504540867810293,0,0,0,0,0,0.363269424823411,0,0,0,0,0,0.00403632694248234,0,0,0,0,0.049949545913219,0,0.00756811301715439,0,0,0,0,0,0,0,0,0,0.00908173562058527,0,0,0,0,0,0,0,0,0,0.0302724520686176
"IAI_IO",0,0,0,0.000698934125458675,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000174733531364669,0,0,0,0,0.995981128778613,0.00174733531364669,0,0,0,0,0,0,0.000873667656823344,0,0,0,0,0,0,0,0,0,0,0,0,0.000174733531364669,0.000174733531364669,0,0,0,0,0,0,0,0.000174733531364669,0,0,0,0,0,0,0,0,0,0,0
"IAI_NA",0,0,0,0.00151889120941713,0,0.000379722802354281,0,0,0.0358838048224796,0,0.000759445604708563,0,0,0,0,0,0,0,0.00379722802354281,0,0,0,0.905259160812607,0.00132902980823998,0,0,0,0,0.000189861401177141,0,0.0425289538636795,0,0,0,0,0,0,0,0,0.000949307005885703,0,0,0,0.00170875261059427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00569584203531422
"IAI_NJ",0,0,0,0.136176580621025,0,0,0,0,0.202020202020202,0,0.000374111485222596,0,0.0187055742611298,0,0,0,0,0,0,0,0,0,0.395061728395062,0.00299289188178077,0,0,0,0,0.00112233445566779,0,0.153385708941264,0,0,0,0,0,0.00374111485222596,0,0,0.00561167227833895,0,0.058361391694725,0,0,0,0,0,0,0,0,0,0.0224466891133558,0,0,0,0,0,0,0,0,0,0,0,0
